name,cusip,twitter,tweet_date,tweet_text
ISHARES TR,464287564,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
ISHARES TR,464287598,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
ISHARES TR,464287614,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
ISHARES TR,464287622,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
ISHARES TR,464287630,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
ISHARES TR,464287648,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
ISHARES TR,464287671,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
ISHARES TR,464287689,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
ISHARES TR,464287713,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
ISHARES TR,464287721,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
