nameOfIssuer,titleOfClass,cusip,value,shrsOrPrnAmt,investmentDiscretion,votingAuthority,sshPrnamt,sshPrnamtType,cik,filingDate,reportDate,fund_name,figi,putCall,otherManager
DOLLAR TREE INC,COM,256746108,4347476,"{'sshPrnamt': '30296', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '30296', 'Shared': '0', 'None': '0'}",30296,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG000BSC0K9,,
GOOSEHEAD INS INC,COM CL A,38267D109,15324532,"{'sshPrnamt': '243672', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '243672', 'Shared': '0', 'None': '0'}",243672,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG00KHHBMC5,,
KKR & CO L P DEL,COM UNITS,48251w104,853096583,"{'sshPrnamt': '15233868', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '15233868', 'Shared': '0', 'None': '0'}",15233868,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG000BCQ6J8,,
MASTERCARD INCORPORATED,CL A,57636Q104,2308458225,"{'sshPrnamt': '5869459', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '5869459', 'Shared': '0', 'None': '0'}",5869459,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG000F1ZSQ2,,
MOODYS CORP,COM,615369105,1836386862,"{'sshPrnamt': '5281223', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '5281223', 'Shared': '0', 'None': '0'}",5281223,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG000F86GP6,,
OREILLY AUTOMOTIVE INC,COM,67103H107,1063968241,"{'sshPrnamt': '1113753', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1113753', 'Shared': '0', 'None': '0'}",1113753,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG000BGYWY6,,
ROPER TECHNOLOGIES INC,COM,776696106,796024500,"{'sshPrnamt': '1655625', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1655625', 'Shared': '0', 'None': '0'}",1655625,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG000F1ZSN5,,
VERISK ANALYTICS INC,CL A,92345Y106,4289145,"{'sshPrnamt': '18976', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '18976', 'Shared': '0', 'None': '0'}",18976,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG000BCZL41,,
VISA INC,COM CL A,92826C839,1168909332,"{'sshPrnamt': '4922138', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '4922138', 'Shared': '0', 'None': '0'}",4922138,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG000PSKYX7,,
MASTERCARD INCORPORATED,COM,57636Q104,7463261,"{'sshPrnamt': '10000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '10000', 'Shared': '0', 'None': '0'}",10000,SH,1112520,2023-08-11,2023-06-30,AKRE CAPITAL MANAGEMENT,BBG000F1ZSQ2,Call,
