nameOfIssuer,cusip,value,sshPrnamt
RESOLUTE FST PRODS INC,76117W109,11495,574737
RF ACQUISITION CORP,74954L112,9377,950100
RF ACQUISITION CORP,74954L120,156,1950100
RICE ACQUISITION CORP II,G75529100,4425,449270
ROSECLIFF ACQUISITION CORP I,77732R111,949,96323
ROTH CH ACQUISITION V CO,77867R100,3993,400472
RUMBLE INC,78137L113,1070,87319
SAGALIAM ACQUISITION CORP,78661R114,199,2490000
SANDBRIDGE X2 CORP,799792114,189,19270
SCION TECH GROWTH II,G31070116,300,30139
SCIPLAY CORPORATION,809087109,13841,1176923
SCP & CO HEALTHCARE ACQUSTN,784065112,4935,500000
SCREAMING EAGLE ACQUISITN CO,G79407105,4352,450000
SDCL EDGE ACQUISITION CORP,G79471101,1871,189200
SELECTA BIOSCIENCES INC,816212104,8627,5260419
SHAW COMMUNICATIONS INC,82028K200,28196,1159651
SHOULDERUP TECHNOLOGY ACQUIS,82537G112,5015,500000
SHUAA PARTNERS ACQUISTN CORP,G81173117,3243,320150
SIGNAL HILL ACQUISITION CORP,82664R105,214,21478
SILICON MOTION TECHNOLOGY CO,82706C108,48316,741160
SILVER SPIKE ACQUISITN CORP,G8201H113,462,46621
SILVERSPAC INC,G8136V104,4408,450000
SIZZLE ACQUISITION CORP,83014E117,1570,155959
SK GROWTH OPPORTUNITIES CORP,G8192N103,4478,450000
SOUTHPORT ACQUISITION CORP,84465L105,4088,406789
SPK AQUISITION CORP,848651113,30,303405
SPORTSMAP TECH ACQUISITIN CO,84921J116,637,63538
SPORTSTEK ACQUISITION CORP,849196118,492,50012
SPREE ACQUISITION CORP 1 LTD,G83745128,971,96059
STONEBRIDGE ACQUISITION CORP,G85094129,1010,100000
STRATIM CLOUD ACQUISITION CO,86309R115,447,45515
SUPER MICRO COMPUTER INC,86800U104,18989,344808
SUSTAINABLE DEVELP ACQU I CO,86934L111,4920,500000
SWIFTMERGE ACQUISITION CORP,G63836111,1008,101599
TALOS ENERGY INC,87484T108,12041,723169
TECHNOLOGY & TELECOM ACQ COR,G87119114,4944,489500
TEGNA INC,87901J105,20658,998932
TG VENTURE ACQUISITION CORP,87251T109,4478,450000
TG VENTURE ACQUISITION CORP,87251T117,9453,950000
THE GROWTH FOR GOOD ACQU COR,G41522114,3574,362101
THE GROWTH FOR GOOD ACQU COR,G41522130,129,1293465
THUNDER BRDG CAP PRTNRS IV I,88605L107,4865,500000
TIO TECH A,G8T10C114,1997,201640
TLG ACQUISITION ONE CORP,87257M116,1411,143101
TLGY ACQUISITION CORPORATION,G8656T125,2948,291600
TORTOISEECOFIN ACQUISITION C,G8956E109,3596,366145
TPG PACE BENEFICIAL II CORP,G89826104,622,63598
TRAJECTORY ALPHA ACQUISITION,89301B104,4460,450000
TURNING PT BRANDS INC,90041L105,16792,790974
TWELVE SEAS INVESTMENT CO II,90118T114,908,92248
TWITTER INC,90184L102,20353,464252
TZP STRATEGIES ACQUISTN CORP,G91595119,648,65128
VALARIS LIMITED,G9460G101,20550,419899
VENUS ACQUISITION CORPORATIO,G9420F128,450,1500000
VISCOGLIOSI BROS ACQUISTN CO,92838K118,1256,127268
VISION SENSING ACQUISITION C,92838J111,995,98863
VIVEON HEALTH ACQUISITION CO,92853V122,57,472942
VMWARE INC,928563402,18977,178259
WAVERLEY CAPITAL ACQUIS CORP,G06536109,1670,170906
WEATHERFORD INTL PLC,G48833118,20439,632995
WELSBACH TECH METALS ACQU CO,950415117,45,1500000
WESTERN ACQSTN VENTURES CORP,95758L115,6874,690154
WILLIAMS ROWLAND ACQUISITION,96951B110,757,75117
WINVEST ACQUISITION CORP,97655B125,68,1500000
WORLDWIDE WEBB ACQUISITION C,G97775111,3080,308011
XPAC ACQUISITION CORP,G9831X106,4890,500000
XPO LOGISTICS INC,983793100,14246,320002
YOTTA ACQUISITION CORPORATIO,98741Y111,9396,950000
YOTTA ACQUISITION CORPORATIO,98741Y129,117,1950000
Z-WORK ACQUISITION CORP,98880C110,322,32656
ZIMMER ENERGY TRANSITION ACQ,989570106,149,15309
