nameOfIssuer,cusip,value,sshPrnamt
SCION TECH GROWTH II,G31070116,12600,1265838
SCIPLAY CORPORATION,809087109,581322,49430766
SCP & CO HEALTHCARE ACQUSTN,784065112,207270,21000000
SCREAMING EAGLE ACQUISITN CO,G79407105,182784,18900000
SDCL EDGE ACQUISITION CORP,G79471101,78582,7946400
SELECTA BIOSCIENCES INC,816212104,362334,220937598
SHAW COMMUNICATIONS INC,82028K200,1184232,48705342
SHOULDERUP TECHNOLOGY ACQUIS,82537G112,210630,21000000
SHUAA PARTNERS ACQUISTN CORP,G81173117,136206,13446300
SIGNAL HILL ACQUISITION CORP,82664R105,8988,902076
SILICON MOTION TECHNOLOGY CO,82706C108,2029272,31128720
SILVER SPIKE ACQUISITN CORP,G8201H113,19404,1958082
SILVERSPAC INC,G8136V104,185136,18900000
SIZZLE ACQUISITION CORP,83014E117,65940,6550278
SK GROWTH OPPORTUNITIES CORP,G8192N103,188076,18900000
SOUTHPORT ACQUISITION CORP,84465L105,171696,17085138
SPK AQUISITION CORP,848651113,1260,12743010
SPORTSMAP TECH ACQUISITIN CO,84921J116,26754,2668596
SPORTSTEK ACQUISITION CORP,849196118,20664,2100504
SPREE ACQUISITION CORP 1 LTD,G83745128,40782,4034478
STONEBRIDGE ACQUISITION CORP,G85094129,42420,4200000
STRATIM CLOUD ACQUISITION CO,86309R115,18774,1911630
SUPER MICRO COMPUTER INC,86800U104,797538,14481936
SUSTAINABLE DEVELP ACQU I CO,86934L111,206640,21000000
SWIFTMERGE ACQUISITION CORP,G63836111,42336,4267158
TALOS ENERGY INC,87484T108,505722,30373098
TECHNOLOGY & TELECOM ACQ COR,G87119114,207648,20559000
TEGNA INC,87901J105,867636,41955144
TG VENTURE ACQUISITION CORP,87251T109,188076,18900000
TG VENTURE ACQUISITION CORP,87251T117,397026,39900000
THE GROWTH FOR GOOD ACQU COR,G41522114,150108,15208242
THE GROWTH FOR GOOD ACQU COR,G41522130,5418,54325530
THUNDER BRDG CAP PRTNRS IV I,88605L107,204330,21000000
TIO TECH A,G8T10C114,83874,8468880
TLG ACQUISITION ONE CORP,87257M116,59262,6010242
TLGY ACQUISITION CORPORATION,G8656T125,123816,12247200
TORTOISEECOFIN ACQUISITION C,G8956E109,151032,15378090
TPG PACE BENEFICIAL II CORP,G89826104,26124,2671116
TRAJECTORY ALPHA ACQUISITION,89301B104,187320,18900000
TURNING PT BRANDS INC,90041L105,705264,33220908
TWELVE SEAS INVESTMENT CO II,90118T114,38136,3874416
TWITTER INC,90184L102,854826,19498584
TZP STRATEGIES ACQUISTN CORP,G91595119,27216,2735376
VALARIS LIMITED,G9460G101,863100,17635758
VENUS ACQUISITION CORPORATIO,G9420F128,18900,63000000
VISCOGLIOSI BROS ACQUISTN CO,92838K118,52752,5345256
VISION SENSING ACQUISITION C,92838J111,41790,4152246
VIVEON HEALTH ACQUISITION CO,92853V122,2394,19863564
VMWARE INC,928563402,797034,7486878
WAVERLEY CAPITAL ACQUIS CORP,G06536109,70140,7178052
WEATHERFORD INTL PLC,G48833118,858438,26585790
WELSBACH TECH METALS ACQU CO,950415117,1890,63000000
WESTERN ACQSTN VENTURES CORP,95758L115,288708,28986468
WILLIAMS ROWLAND ACQUISITION,96951B110,31794,3154914
WINVEST ACQUISITION CORP,97655B125,2856,63000000
WORLDWIDE WEBB ACQUISITION C,G97775111,129360,12936462
XPAC ACQUISITION CORP,G9831X106,205380,21000000
XPO LOGISTICS INC,983793100,598332,13440084
YOTTA ACQUISITION CORPORATIO,98741Y111,394632,39900000
YOTTA ACQUISITION CORPORATIO,98741Y129,4914,81900000
Z-WORK ACQUISITION CORP,98880C110,13524,1371552
ZIMMER ENERGY TRANSITION ACQ,989570106,6258,642978
